,Category,Model,Model Year,Manufacturer,Fuel,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count
814,Step Van,(various models),2022,Morgan-Olson,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
878,Step Van,(various models),2022,Utilimaster,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
718,Vocational/Cab Chassis,114SD NG - Class 8,2022,Freightliner,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
548,Pickup,1500 2WD,2021,Ram,Hybrid Electric,17.0,23.0,19.0,Automatic,SI,5.7L,8.0
547,Pickup,1500 2WD,2021,Ram,Hybrid Electric,20.0,25.0,22.0,Automatic,SI,3.6L,6.0
550,Pickup,1500 4WD,2021,Ram,Hybrid Electric,17.0,22.0,19.0,Automatic,SI,5.7L,8.0
549,Pickup,1500 4WD,2021,Ram,Hybrid Electric,19.0,24.0,21.0,Automatic,SI,3.6L,6.0
262,Pickup,1500 4X2,2022,Ram,Hybrid Electric,20.0,25.0,22.0,Automatic,SI,3.6L,6.0
263,Pickup,1500 4X2,2022,Ram,Hybrid Electric,18.0,23.0,20.0,Automatic,SI,5.7L,8.0
264,Pickup,1500 4X4,2022,Ram,Hybrid Electric,18.0,22.0,19.0,Automatic,SI,5.7L,8.0
265,Pickup,1500 4X4,2022,Ram,Hybrid Electric,19.0,24.0,21.0,Automatic,SI,3.6L,6.0
266,Pickup,1500 HFE 4X2,2022,Ram,Hybrid Electric,20.0,26.0,23.0,Automatic,SI,3.6L,6.0
551,Pickup,1500 HFE 4X2,2021,Ram,Hybrid Electric,20.0,26.0,23.0,Automatic,SI,3.6L,6.0
837,Vocational/Cab Chassis,220EV - Class 6,2022,Peterbilt,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
838,Vocational/Cab Chassis,220EV - Class 7,2022,Peterbilt,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
853,Pickup,2500/3500 HD,2022,RAM,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
350,Sedan/Wagon,330e,2021,BMW,Plug-in Hybrid Electric,25.0,33.0,28.0,Automatic,SI,2.0L,4.0
39,Sedan/Wagon,330e Sedan,2022,BMW,Plug-in Hybrid Electric,25.0,33.0,28.0,Automatic,SI,2.0L,4.0
40,Sedan/Wagon,330e xDrive,2022,BMW,Plug-in Hybrid Electric,22.0,30.0,25.0,Automatic,SI,2.0L,4.0
351,Sedan/Wagon,330e xDrive,2021,BMW,Plug-in Hybrid Electric,22.0,30.0,25.0,Automatic,SI,2.0L,4.0
638,Vocational/Cab Chassis,3500/4500 Low Cab Forward,2022,Chevrolet,Ethanol (E85),25.9,30.09,27.26,unknown,unknown,unknown,5.45
854,Vocational/Cab Chassis,3500/4500/5500,2022,RAM,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
639,Vocational/Cab Chassis,"4500 HD, 4500 XD, 5500 HD, 5500 XD Low Cab Forward",2022,Chevrolet,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
875,Street Sweeper,500x,2022,TYMCO,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
839,Vocational/Cab Chassis,520,2022,Peterbilt,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
840,Refuse,520EV - Class 8,2022,Peterbilt,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
352,Sedan/Wagon,530e,2021,BMW,Plug-in Hybrid Electric,24.0,29.0,26.0,Automatic,SI,2.0L,4.0
41,Sedan/Wagon,530e Sedan,2022,BMW,Plug-in Hybrid Electric,24.0,29.0,26.0,Automatic,SI,2.0L,4.0
353,Sedan/Wagon,530e xDrive,2021,BMW,Plug-in Hybrid Electric,22.0,28.0,25.0,Automatic,SI,2.0L,4.0
42,Sedan/Wagon,530e xDrive Sedan,2022,BMW,Plug-in Hybrid Electric,22.0,28.0,25.0,Automatic,SI,2.0L,4.0
841,Vocational/Cab Chassis,535 - Class 5,2022,Peterbilt,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,Automatic|Manual,unknown,unknown,5.45
842,Vocational/Cab Chassis,536 - Class 6,2022,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,Automatic|Manual,unknown,unknown,5.45
843,Vocational/Cab Chassis,537 - Class 7,2022,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,Automatic|Manual,unknown,unknown,5.45
354,SUV,540i,2021,BMW,Hybrid Electric,25.0,32.0,27.0,Automatic,SI,3.0L,6.0
43,Sedan/Wagon,540i Sedan,2022,BMW,Hybrid Electric,25.0,32.0,27.0,Automatic,SI,3.0L,6.0
355,SUV,540i xDrive,2021,BMW,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,3.0L,6.0
44,Sedan/Wagon,540i xDrive Sedan,2022,BMW,Hybrid Electric,22.0,29.0,25.0,Automatic,SI,3.0L,6.0
844,Vocational/Cab Chassis,548 - Class 8,2022,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,Automatic|Manual,unknown,unknown,5.45
845,TractorVocational/Cab Chassis,567 - Class 8,2022,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,Automatic|Manual,unknown,unknown,5.45
846,Vocational/Cab ChassisTractor,579,2022,Peterbilt,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,Automatic|Manual,unknown,unknown,5.45
847,Tractor,579EV - Class 8,2022,Peterbilt,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
876,Street Sweeper,600,2022,TYMCO,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
640,Vocational/Cab Chassis,6500 XD Low Cab Forward,2022,Chevrolet,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
621,Vocational/Cab Chassis,6F,2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
622,Refuse,6R,2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
45,Sedan/Wagon,745e xDrive,2022,BMW,Plug-in Hybrid Electric,19.0,26.0,22.0,Automatic,SI,3.0L,6.0
356,Sedan/Wagon,745e xDrive,2021,BMW,Plug-in Hybrid Electric,19.0,26.0,22.0,Automatic,SI,3.0L,6.0
623,Refuse,8R,2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
624,Tractor,8TT Day Cab,2022,BYD,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
625,Tractor,8Y Terminal Tractor,2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
1,Sedan/Wagon,A3 ,2022,Audi,Hybrid Electric,29.0,38.0,32.0,Automatic,SI,2.0L,4.0
2,Sedan/Wagon,A3 quattro,2022,Audi,Hybrid Electric,28.0,36.0,31.0,Automatic,SI,2.0L,4.0
5,Sedan/Wagon,A4 S line quattro,2022,Audi,Hybrid Electric,24.0,31.0,27.0,Automatic,SI,2.0L,4.0
323,Sedan/Wagon,A4 S line quattro,2021,Audi,Hybrid Electric,24.0,31.0,27.0,Automatic,SI,2.0L,4.0
3,Sedan/Wagon,A4 allroad quattro,2022,Audi,Hybrid Electric,24.0,30.0,26.0,Automatic,SI,2.0L,4.0
321,Sedan/Wagon,A4 allroad quattro,2021,Audi,Hybrid Electric,24.0,30.0,26.0,Automatic,SI,2.0L,4.0
4,Sedan/Wagon,A4 quattro,2022,Audi,Hybrid Electric,26.0,34.0,29.0,Automatic,SI,2.0L,4.0
322,Sedan/Wagon,A4 quattro,2021,Audi,Hybrid Electric,25.0,34.0,28.0,Automatic,SI,2.0L,4.0
324,Sedan/Wagon,A5 Cabriolet quattro,2021,Audi,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,2.0L,4.0
6,Sedan/Wagon,A5 Cabriolet quattro,2022,Audi,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,2.0L,4.0
7,Sedan/Wagon,A5 Coupe quattro,2022,Audi,Hybrid Electric,24.0,31.0,27.0,Automatic,SI,2.0L,4.0
327,Sedan/Wagon,A5 Sportback S line quattro,2021,Audi,Hybrid Electric,24.0,31.0,27.0,Automatic,SI,2.0L,4.0
9,Sedan/Wagon,A5 Sportback S line quattro,2022,Audi,Hybrid Electric,24.0,31.0,27.0,Automatic,SI,2.0L,4.0
326,Sedan/Wagon,A5 Sportback quattro,2021,Audi,Hybrid Electric,25.0,34.0,28.0,Automatic,SI,2.0L,4.0
8,Sedan/Wagon,A5 Sportback quattro,2022,Audi,Hybrid Electric,26.0,34.0,29.0,Automatic,SI,2.0L,4.0
325,Sedan/Wagon,A5 quattro,2021,Audi,Hybrid Electric,24.0,31.0,27.0,Automatic,SI,2.0L,4.0
328,Sedan/Wagon,A6 Allroad,2021,Audi,Hybrid Electric,20.0,26.0,22.0,Automatic,SI,3.0L,6.0
10,Sedan/Wagon,A6 Allroad quattro,2022,Audi,Hybrid Electric,21.0,28.0,23.0,Automatic,SI,3.0L,6.0
12,Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,23.0,33.0,26.0,Automatic,SI,2.0L,4.0
330,Sedan/Wagon,A6 quattro,2021,Audi,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,2.0L,4.0
11,Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,21.0,30.0,24.0,Automatic,SI,3.0L,6.0
329,Sedan/Wagon,A6 quattro,2021,Audi,Hybrid Electric,22.0,29.0,24.0,Automatic,SI,3.0L,6.0
14,Sedan/Wagon,A7 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,25.0,31.0,27.0,Automatic,SI,2.0L,4.0
855,Street Sweeper,A7 Tornado sweeper - Class 6,2022,Schwarze Industries,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
856,Street Sweeper,A7 Zephyr sweeper - Class 6,2022,Schwarze Industries,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
13,Sedan/Wagon,A7 quattro,2022,Audi,Hybrid Electric,21.0,30.0,24.0,Automatic,SI,3.0L,6.0
331,Sedan/Wagon,A7 quattro,2021,Audi,Plug-in Hybrid Electric,26.0,34.0,29.0,Automatic,SI,2.0L,4.0
332,Sedan/Wagon,A7 quattro,2021,Audi,Hybrid Electric,22.0,29.0,24.0,Automatic,SI,3.0L,6.0
333,Sedan/Wagon,A8L,2021,Audi,Hybrid Electric,15.0,23.0,18.0,Automatic,SI,4.0L,8.0
334,Sedan/Wagon,A8L,2021,Audi,Plug-in Hybrid Electric,21.0,26.0,23.0,Automatic,SI,3.0L,6.0
335,Sedan/Wagon,A8L,2021,Audi,Hybrid Electric,17.0,26.0,21.0,Automatic,SI,3.0L,6.0
15,Sedan/Wagon,A8L quattro,2022,Audi,Hybrid Electric,19.0,28.0,22.0,Automatic,SI,3.0L,6.0
596,Vocational/Cab Chassis,ACMD-Xpert,2022,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
594,Street Sweeper,ACMD-Xpert,2022,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
595,Refuse,ACMD-Xpert,2022,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
598,Tractor,ACTT Terminal Tractor,2022,Autocar,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
597,Tractor,ACTT Terminal Tractor,2022,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
600,Refuse,ACX-Xpeditor ,2022,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
601,Street Sweeper,ACX-Xpeditor ,2022,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
599,Vocational/Cab Chassis,ACX-Xpeditor  - Class 8,2022,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
492,Sedan/Wagon,AMG CLS 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,21.0,26.0,23.0,Automatic,SI,3.0L,6.0
493,Sedan/Wagon,AMG E53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,22.0,29.0,25.0,Automatic,SI,3.0L,6.0
209,Sedan/Wagon,AMG E53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,21.0,29.0,24.0,Automatic,SI,3.0L,6.0
494,Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2021,Mercedes-Benz,Hybrid Electric,21.0,27.0,23.0,Automatic,SI,3.0L,6.0
210,Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2022,Mercedes-Benz,Hybrid Electric,20.0,28.0,23.0,Automatic,SI,3.0L,6.0
211,Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,20.0,28.0,23.0,Automatic,SI,3.0L,6.0
495,Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2021,Mercedes-Benz,Hybrid Electric,21.0,28.0,24.0,Automatic,SI,3.0L,6.0
212,SUV,AMG GLE 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,18.0,22.0,19.0,Automatic,SI,3.0L,6.0
496,SUV,AMG GLE 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,18.0,22.0,19.0,Automatic,SI,3.0L,6.0
213,SUV,AMG GLE 53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,17.0,21.0,19.0,Automatic,SI,3.0L,6.0
497,SUV,AMG GLE 53 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,18.0,23.0,20.0,Automatic,SI,3.0L,6.0
498,SUV,AMG GLE 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,15.0,19.0,16.0,Automatic,SI,4.0L,8.0
214,SUV,AMG GLE 63 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,14.0,18.0,15.0,Automatic,SI,4.0L,8.0
215,SUV,AMG GLE 63 S 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,15.0,19.0,16.0,Automatic,SI,4.0L,8.0
216,SUV,AMG GLE 63 S 4MATIC+ (coupe),2022,Mercedes-Benz,Hybrid Electric,15.0,19.0,16.0,Automatic,SI,4.0L,8.0
499,SUV,AMG GLE 63 S 4MATIC+ Coupe,2021,Mercedes-Benz,Hybrid Electric,15.0,19.0,17.0,Automatic,SI,4.0L,8.0
500,SUV,AMG GLS 63 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,14.0,18.0,16.0,Automatic,SI,4.0L,8.0
501,Sedan/Wagon,AMG GT 43 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,20.0,25.0,22.0,Automatic,SI,3.0L,6.0
217,Sedan/Wagon,AMG GT 43 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,19.0,25.0,21.0,Automatic,SI,3.0L,6.0
218,Sedan/Wagon,AMG GT 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,19.0,25.0,21.0,Automatic,SI,3.0L,6.0
502,Sedan/Wagon,AMG GT 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,20.0,25.0,22.0,Automatic,SI,3.0L,6.0
748,Passenger Van/Shuttle Bus,AV Star,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
658,Transit Bus,AXESS 32' low floor,2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
659,Transit Bus,AXESS 32' low floor,2022,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
661,Transit Bus,AXESS 35' low floor,2022,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
660,Transit Bus,AXESS 35' low floor,2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
663,Transit Bus,AXESS 40' low floor,2022,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
662,Transit Bus,AXESS 40' low floor,2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
667,Transit Bus,AXESS-FC 40' low floor,2022,ENC,Hydrogen Fuel Cell,25.9,30.09,27.26,unknown,unknown,unknown,5.45
132,Sedan/Wagon,Accord,2022,Honda,Hybrid Electric,48.0,47.0,47.0,Automatic,SI,2.0L,4.0
434,Sedan/Wagon,Accord,2021,Honda,Hybrid Electric,48.0,48.0,48.0,Automatic,SI,2.0L,4.0
133,Sedan/Wagon,Accord Sport/Touring,2022,Honda,Hybrid Electric,44.0,41.0,43.0,Automatic,SI,2.0L,4.0
435,Sedan/Wagon,Accord Sport/Touring,2021,Honda,Hybrid Electric,44.0,41.0,43.0,Automatic,SI,2.0L,4.0
202,Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,370kW and 459kW electric motors,7.33
203,Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,370kW and 459kW electric motors,7.33
204,Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,198kW and 498kW electric motors,7.33
205,Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,198kW and 498kW electric motors,7.33
206,Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,178kW and 433kW electric motors,7.33
207,Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,18.67,23.33,20.33,Automatic,e-motor,178kW and 433kW electric motors,7.33
609,Passenger Van/Shuttle Bus,All American Activity,2022,Blue Bird,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
611,School Bus,All American RE Electric,2022,Blue Bird,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
612,Passenger Van/Shuttle Bus,All American RE Electric Activity,2022,Blue Bird,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
610,School Bus,All American Rear Engine - Class 7,2022,Blue Bird,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
858,Passenger Van/Shuttle Bus,Allstar 22,2022,Starcraft,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
799,Tractor,Anthem - Class 8,2022,Mack,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
564,Sedan/Wagon,Avalon Hybrid,2021,Toyota,Hybrid Electric,43.0,43.0,43.0,Automatic,SI,2.5L,4.0
282,Sedan/Wagon,Avalon Hybrid ,2022,Toyota,Hybrid Electric,43.0,43.0,43.0,Automatic,SI,2.5L,4.0
565,Sedan/Wagon,Avalon Hybrid XLE,2021,Toyota,Hybrid Electric,43.0,44.0,44.0,Automatic,SI,2.5L,4.0
283,Sedan/Wagon,Avalon Hybrid XLE,2022,Toyota,Hybrid Electric,43.0,44.0,44.0,Automatic,SI,2.5L,4.0
490,SUV,Aviator AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,22.0,25.0,23.0,Automatic,CI,3.0L,6.0
200,SUV,Aviator AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,22.0,25.0,23.0,Automatic,SI,3.0L,6.0
664,Transit Bus,Axess-BEB 32' low floor,2022,ENC,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
665,Transit Bus,Axess-BEB 35' low floor,2022,ENC,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
666,Transit Bus,Axess-BEB 40' low floor,2022,ENC,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
749,School Bus,BEAST,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
726,Transit Bus,"BRT, BRT Plus, Commuter",2022,Gillig,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
727,Transit Bus,"BRT, BRT Plus, Commuter",2022,Gillig,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
349,SUV,Bentayga,2021,Bentley Motors,Plug-in Hybrid Electric,17.0,21.0,19.0,Automatic,SI,3.0L,6.0
69,Sedan/Wagon,Bolt EUV,2022,Chevrolet,Electric,18.67,23.33,20.33,unknown,e-motor,150 kW electric motor,7.33
374,Sedan/Wagon,Bolt EV,2021,Chevrolet,Electric,18.0,23.33,20.0,unknown,e-motor,150 kW electric motor,7.33
70,Sedan/Wagon,Bolt EV,2022,Chevrolet,Electric,18.67,23.33,20.33,unknown,e-motor,150 kW electric motor,7.33
653,Street Sweeper,Broom Bear,2022,Elgin,CNG - Compressed Natural Gas,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
654,Street Sweeper,Broom Bear CNG Hybrid,2022,Elgin,CNG - Compressed Natural Gas|Plug-in Hybrid Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
655,Street Sweeper,Broom Bear Plug-In Hybrid,2022,Elgin,Plug-in Hybrid Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
219,Sedan/Wagon,C 300,2022,Mercedes-Benz,Hybrid Electric,25.0,35.0,29.0,Automatic,SI,2.0L,4.0
220,Sedan/Wagon,C 300 4MATIC,2022,Mercedes-Benz,Hybrid Electric,23.0,33.0,27.0,Automatic,SI,2.0L,4.0
881,Step Van,C-Series,2022,Workhorse,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
626,Passenger Van/Shuttle Bus,C10M (45'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
627,Transit Bus,C10MS (45' double deck),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
308,SUV,C40 Recharge Twin,2022,Volvo,Electric,18.67,23.33,20.33,Automatic,e-motor,150 kW electric motors (X2),7.33
628,Passenger Van/Shuttle Bus,C6M (23'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
629,Passenger Van/Shuttle Bus,C8M (35'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
630,Transit Bus,C8MS (35' double deck),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
631,Passenger Van/Shuttle Bus,C9M (40'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
779,School Bus,CE Series,2022,IC Bus,Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
503,Sedan/Wagon,CLS 450,2021,Mercedes-Benz,Hybrid Electric,23.0,30.0,26.0,Automatic,SI,3.0L,6.0
221,Sedan/Wagon,CLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,22.0,30.0,25.0,Automatic,SI,3.0L,6.0
504,Sedan/Wagon,CLS 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,22.0,29.0,25.0,Automatic,SI,3.0L,6.0
134,SUV,CR-V AWD,2022,Honda,Hybrid Electric,40.0,35.0,38.0,Automatic,SI,2.0L,4.0
438,SUV,CR-V AWD,2021,Honda,Hybrid Electric,40.0,35.0,38.0,Automatic,SI,2.0L,4.0
879,Transit Bus,CX45E,2022,Van Hool,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
566,Sedan/Wagon,Camry Hybrid LE,2021,Toyota,Hybrid Electric,51.0,53.0,52.0,Automatic,SI,2.5L,4.0
284,Sedan/Wagon,Camry Hybrid LE,2022,Toyota,Hybrid Electric,51.0,53.0,52.0,Automatic,SI,2.5L,4.0
567,Sedan/Wagon,Camry Hybrid SE/XLE/XSE,2021,Toyota,Hybrid Electric,44.0,47.0,46.0,Automatic,SI,2.5L,4.0
