,Category,Model,Model Year,Manufacturer,Fuel,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count
285,Sedan/Wagon,Camry Hybrid SE/XLE/XSE,2022,Toyota,Hybrid Electric,44.0,47.0,46.0,Automatic,SI,2.5L,4.0
423,Pickup,Canyon 2WD,2021,GMC,Biodiesel (B20),20.0,30.0,23.0,Automatic,CI,2.8L,4.0
120,Pickup,Canyon 2WD,2022,GMC,Biodiesel (B20),20.0,30.0,23.0,Automatic,CI,2.8L,4.0
121,Pickup,Canyon 4WD,2022,GMC,Biodiesel (B20),19.0,28.0,22.0,Automatic,CI,2.8L,4.0
424,Pickup,Canyon 4WD,2021,GMC,Biodiesel (B20),19.0,28.0,22.0,Automatic,CI,2.8L,4.0
765,Passenger Van/Shuttle Bus,Carriage ,2022,Hometown Manufacturing,CNG - Compressed Natural Gas|Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
719,Tractor,Cascadia Natural Gas,2022,Freightliner,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
530,SUV,Cayenne Turbo S e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17.0,20.0,18.0,Automatic,SI,4.0L,8.0
531,SUV,Cayenne Turbo S e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,17.0,20.0,18.0,Automatic,SI,4.0L,8.0
248,SUV,Cayenne Turbo S/Coupe e-Hybrid ,2022,Porsche,Plug-in Hybrid Electric,17.0,20.0,18.0,Automatic,SI,4.0L,8.0
528,SUV,Cayenne e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,20.0,22.0,21.0,Automatic,SI,3.0L ,6.0
529,SUV,Cayenne e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,20.0,22.0,21.0,Automatic,SI,3.0L ,6.0
247,SUV,Cayenne/Coupe/Platinum e-Hybrid,2022,Porsche,Plug-in Hybrid Electric,20.0,22.0,21.0,Automatic,SI,3.0L ,6.0
436,Sedan/Wagon,Clarity,2021,Honda,Hydrogen Fuel Cell,18.0,23.33,20.0,Automatic,SI,130 kW electric motor,7.33
437,Sedan/Wagon,Clarity PHEV,2021,Honda,Plug-in Hybrid Electric,44.0,40.0,42.0,Automatic,SI,1.5L,4.0
71,Pickup,Colorado 2WD,2022,Chevrolet,Biodiesel (B20),20.0,30.0,23.0,Automatic,CI,2.8L,4.0
375,Pickup,Colorado 2WD,2021,Chevrolet,Biodiesel (B20),20.0,30.0,23.0,Automatic,CI,2.8L,4.0
72,Pickup,Colorado 4WD,2022,Chevrolet,Biodiesel (B20),19.0,28.0,22.0,Automatic,CI,2.8L,4.0
376,Pickup,Colorado 4WD,2021,Chevrolet,Biodiesel (B20),19.0,28.0,22.0,Automatic,CI,2.8L,4.0
377,Pickup,Colorado ZR2 4WD,2021,Chevrolet,Biodiesel (B20),18.0,22.0,19.0,Automatic,CI,2.8L,4.0
73,Pickup,Colorado ZR2 4WD,2022,Chevrolet,Biodiesel (B20),18.0,22.0,19.0,Automatic,CI,2.8L,4.0
767,Passenger Van/Shuttle Bus,Commuter,2022,Hometown Manufacturing,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
766,Passenger Van/Shuttle Bus,Commuter,2022,Hometown Manufacturing,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
520,Sedan/Wagon,Cooper SE Countryman ALL4,2021,Mini,Plug-in Hybrid Electric,29.0,30.0,29.0,Automatic,SI,1.5L,3.0
239,Sedan/Wagon,Cooper SE Countryman ALL4,2022,Mini,Plug-in Hybrid Electric,29.0,30.0,29.0,Automatic,SI,1.5L,3.0
521,Sedan/Wagon,Cooper SE Hardtop 2 door,2021,Mini,Electric,18.0,23.33,20.0,Automatic,e-motor,135 kW electric motor,7.33
240,Sedan/Wagon,Cooper SE Hardtop 2 door,2022,Mini,Electric,18.67,23.33,20.33,Automatic,e-motor,135 kW electric motor,7.33
286,Sedan/Wagon,Corolla Hybrid,2022,Toyota,Hybrid Electric,53.0,52.0,52.0,Automatic,SI,1.8L,4.0
568,Sedan/Wagon,Corolla Hybrid,2021,Toyota,Hybrid Electric,53.0,52.0,52.0,Automatic,SI,1.8L,4.0
491,SUV,Corsair AWD PHEV,2021,Lincoln,Plug-in Hybrid Electric,34.0,32.0,33.0,Automatic,CI,2.5L,4.0
201,SUV,Corsair AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,34.0,32.0,33.0,Automatic,SI,2.5L,4.0
552,SUV,Crosstrek Hybrid AWD,2021,Subaru,Plug-in Hybrid Electric,36.0,35.0,35.0,Automatic,unknown,2.0L,4.0
656,Street Sweeper,Crosswind1,2022,Elgin,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
804,Transit Bus,D4000 Commuter Coach,2022,MCI,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
805,Transit Bus,D4000 Hybrid Commuter Coach - Class 8,2022,MCI,Diesel/Hybrid Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
808,Transit Bus,D45 CRT LE CHARGE - Class 8,2022,MCI,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
806,Transit Bus,D4500 Commuter Coach,2022,MCI,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
807,Transit Bus,D4500 Hybrid Commuter Coach - Class 8,2022,MCI,Diesel/Hybrid Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
602,Vocational/Cab Chassis,DC-64 - Class 8,2022,Autocar,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
603,Refuse,DC-64R - Class 8,2022,Autocar,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
470,SUV,Defender 110 MHEV,2021,Land Rover,Hybrid Electric,17.0,22.0,19.0,Automatic,CI,3.0L,6.0
176,SUV,Defender 110 MHEV,2022,Land Rover,Hybrid Electric,17.0,22.0,19.0,Automatic,SI,3.0L,6.0
471,SUV,Defender 90 MHEV,2021,Land Rover,Hybrid Electric,17.0,22.0,19.0,Automatic,CI,3.0L,6.0
177,SUV,Defender 90 MHEV,2022,Land Rover,Hybrid Electric,17.0,22.0,19.0,Automatic,SI,3.0L,6.0
472,SUV,Discovery MHEV,2021,Land Rover,Hybrid Electric,18.0,24.0,21.0,Automatic,CI,3.0L,6.0
178,SUV,Discovery MHEV,2022,Land Rover,Hybrid Electric,18.0,24.0,21.0,Automatic,SI,3.0L,6.0
510,Sedan/Wagon,E 450 (Convertible),2021,Mercedes-Benz,Hybrid Electric,23.0,30.0,25.0,Automatic,SI,3.0L,6.0
226,Sedan/Wagon,E 450 (Convertible),2022,Mercedes-Benz,Hybrid Electric,22.0,29.0,25.0,Automatic,SI,3.0L,6.0
511,Sedan/Wagon,E 450 (Coupe),2021,Mercedes-Benz,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,3.0L,6.0
227,Sedan/Wagon,E 450 (Coupe),2022,Mercedes-Benz,Hybrid Electric,22.0,29.0,25.0,Automatic,SI,3.0L,6.0
222,Sedan/Wagon,E 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,23.0,30.0,25.0,Automatic,SI,3.0L,6.0
505,Sedan/Wagon,E 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,23.0,30.0,26.0,Automatic,SI,3.0L,6.0
506,Sedan/Wagon,E 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,23.0,30.0,26.0,Automatic,SI,3.0L,6.0
224,Sedan/Wagon,E 450 4MATIC (Convertible),2022,Mercedes-Benz,Hybrid Electric,22.0,29.0,24.0,Automatic,SI,3.0L,6.0
508,Sedan/Wagon,E 450 4MATIC (Convertible),2021,Mercedes-Benz,Hybrid Electric,23.0,29.0,25.0,Automatic,SI,3.0L,6.0
225,Sedan/Wagon,E 450 4MATIC (Coupe),2022,Mercedes-Benz,Hybrid Electric,22.0,29.0,24.0,Automatic,SI,3.0L,6.0
509,Sedan/Wagon,E 450 4MATIC (Coupe),2021,Mercedes-Benz,Hybrid Electric,23.0,30.0,25.0,Automatic,SI,3.0L,6.0
507,Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2021,Mercedes-Benz,Hybrid Electric,22.0,28.0,24.0,Automatic,SI,3.0L,6.0
223,Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2022,Mercedes-Benz,Hybrid Electric,21.0,28.0,24.0,Automatic,SI,3.0L,6.0
682,Vocational/Cab Chassis,E-450 Box Truck,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
684,School Bus,E-450 School Bus,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
685,Passenger Van/Shuttle Bus,E-450 Shuttle,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
686,Step Van,E-450 Step Van,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
688,Vocational/Cab Chassis,E-450 Work Truck,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
156,SUV,E-PACE MHEV,2022,Jaguar,Hybrid Electric,21.0,26.0,23.0,Automatic,SI,2.0L,4.0
454,SUV,E-PACE MHEV,2021,Jaguar,Hybrid Electric,21.0,26.0,23.0,Automatic,SI,2.0L,4.0
859,School Bus,E-Quest,2022,Starcraft,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
860,School Bus,E-Quest XL,2022,Starcraft,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
689,Van,E-Transit Cargo Van,2022,Ford,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
690,Vocational/Cab Chassis,E-Transit Cutaway/Chassis Cab,2022,Ford,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
669,Transit Bus,E-Z RIDER II 30',2022,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
668,Transit Bus,E-Z RIDER II 30',2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
671,Transit Bus,E-Z RIDER II 32',2022,ENC,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
670,Transit Bus,E-Z RIDER II 32',2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
673,Transit Bus,E-Z RIDER II 35',2022,ENC,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
672,Transit Bus,E-Z RIDER II 35',2022,ENC,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
834,Vocational/Cab Chassis,E1 Cutaway Chassis,2022,Optimal-EV,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
678,Vocational/Cab Chassis,"E350, E450 Cutaway",2022,Ford,Propane - Bi-fuel|CNG - Bi-fuel|Propane|CNG - Compressed Natural Gas|Ethanol (E85),25.9,30.09,27.26,unknown,unknown,unknown,5.45
679,Vocational/Cab Chassis,"E350, E450 Cutaway",2022,Ford,Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
681,Vocational/Cab Chassis,"E350, E450 Stripped Chassis",2022,Ford,Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
680,Vocational/Cab Chassis,"E350, E450 Stripped Chassis",2022,Ford,Propane - Bi-fuel|Propane|CNG - Bi-fuel|Ethanol (E85)|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
683,Vocational/Cab Chassis,E450 Cutaway,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
687,Vocational/Cab Chassis,E450 Stripped Chassis,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
229,Sedan/Wagon,EQS 580 4MATIC,2022,Mercedes-Benz,Electric,18.67,23.33,20.33,Automatic,e-motor,135 and 255 kW electric motors,7.33
228,Sedan/Wagon,EQS450+,2022,Mercedes-Benz,Electric,18.67,23.33,20.33,Automatic,e-motor,245 kW electric motor,7.33
481,Sedan/Wagon,ES 300h,2021,Lexus,Hybrid Electric,43.0,44.0,44.0,Automatic,SI,2.5L,4.0
191,Sedan/Wagon,ES 300h,2022,Lexus,Hybrid Electric,43.0,44.0,44.0,Automatic,SI,2.5L,4.0
753,Passenger Van/Shuttle Bus,EV Star,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
757,Vocational/Cab Chassis,EV Star CC,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
755,Van,EV Star Cargo,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
756,Vocational/Cab ChassisVan,EV Star Cargo+,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
754,Passenger Van/Shuttle Bus,EV Star+,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
750,Transit Bus,EV250,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
751,Transit Bus,EV350,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
752,Transit Bus,EV550,2022,GreenPower Motor Company,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
165,Sedan/Wagon,EV6 AWD (Long Range) ,2022,Kia,Electric,18.67,23.33,20.33,Automatic,e-motor,74 kW and 165 kW electric motors,7.33
166,Sedan/Wagon,EV6 RWD,2022,Kia,Electric,18.67,23.33,20.33,Automatic,e-motor,125 kW electric motor,7.33
167,Sedan/Wagon,EV6 RWD (Long Range) ,2022,Kia,Electric,18.67,23.33,20.33,Automatic,e-motor,168 kW electric motor,7.33
441,Sedan/Wagon,Elantra Hybrid,2021,Hyundai,Hybrid Electric,49.0,52.0,50.0,Automatic,SI,1.6L,4.0
137,Sedan/Wagon,Elantra Hybrid,2022,Hyundai,Hybrid Electric,49.0,52.0,50.0,Automatic,SI,1.6L,4.0
442,Sedan/Wagon,Elantra Hybrid Blue,2021,Hyundai,Hybrid Electric,53.0,56.0,54.0,Automatic,SI,1.6L,4.0
138,Sedan/Wagon,Elantra Hybrid Blue,2022,Hyundai,Hybrid Electric,53.0,56.0,54.0,Automatic,SI,1.6L,4.0
780,School Bus,Electric CE Series,2022,IC Bus,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
67,SUV,Escalade 2WD,2022,Cadillac,Biodiesel (B20),21.0,27.0,23.0,Automatic,CI,3.0L,6.0
372,SUV,Escalade 2WD,2021,Cadillac,Biodiesel (B20),21.0,27.0,23.0,Automatic,CI,3.0L,6.0
68,SUV,Escalade 4WD,2022,Cadillac,Biodiesel (B20),20.0,26.0,22.0,Automatic,CI,3.0L,6.0
373,SUV,Escalade 4WD,2021,Cadillac,Biodiesel (B20),20.0,26.0,22.0,Automatic,CI,3.0L,6.0
88,Sedan/Wagon,Escape AWD HEV,2022,Ford,Hybrid Electric,43.0,37.0,40.0,Automatic,SI,2.5L I4,4.0
388,Sedan/Wagon,Escape AWD HEV,2021,Ford,Hybrid Electric,43.0,37.0,40.0,Automatic,SI,2.5L I4,4.0
389,Sedan/Wagon,Escape FWD HEV,2021,Ford,Hybrid Electric,44.0,37.0,41.0,Automatic,SI,2.5L I4,4.0
89,Sedan/Wagon,Escape FWD HEV,2022,Ford,Hybrid Electric,44.0,37.0,41.0,Automatic,SI,2.5L I4,4.0
390,SUV,Escape FWD PHEV,2021,Ford,Plug-in Hybrid Electric,43.0,38.0,40.0,Automatic,SI,2.5L,4.0
90,SUV,Escape FWD PHEV,2022,Ford,Plug-in Hybrid Electric,43.0,38.0,41.0,Automatic,SI,2.5L,4.0
391,SUV,Explorer AWD FFV,2021,Ford,Ethanol (E85),16.0,23.0,19.0,Automatic,SI,3.3L,6.0
91,SUV,Explorer AWD FFV,2022,Ford,Ethanol (E85),16.0,24.0,19.0,Automatic,SI,3.3L,6.0
92,SUV,Explorer HEV AWD,2022,Ford,Hybrid Electric,23.0,26.0,25.0,Automatic,SI,3.3L V6,6.0
392,SUV,Explorer HEV AWD,2021,Ford,Hybrid Electric,23.0,26.0,25.0,Automatic,SI,3.3L V6,6.0
93,SUV,Explorer HEV RWD,2022,Ford,Hybrid Electric,27.0,28.0,27.0,Automatic,SI,3.3L V6,6.0
393,SUV,Explorer HEV RWD,2021,Ford,Hybrid Electric,27.0,28.0,27.0,Automatic,SI,3.3L V6,6.0
94,SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,23.0,24.0,23.0,Automatic,SI,3.3L V6,6.0
95,SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,25.0,25.0,26.0,Automatic,SI,3.3L V6,6.0
644,Passenger Van/Shuttle Bus,Express 2500/3500,2022,Chevrolet,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
643,Van,Express 2500/3500,2022,Chevrolet,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
642,Van,Express 2500/3500,2022,Chevrolet,Ethanol (E85),25.9,30.09,27.26,unknown,unknown,unknown,5.45
641,Passenger Van/Shuttle Bus,Express 2500/3500,2022,Chevrolet,Ethanol (E85),25.9,30.09,27.26,unknown,unknown,unknown,5.45
645,Vocational/Cab Chassis,Express 3500/4500 Cutaway,2022,Chevrolet,Ethanol (E85),25.9,30.09,27.26,unknown,unknown,unknown,5.45
394,Pickup,F-150 2WD,2021,Ford,Biodiesel (B20),19.67,25.0,22.0,Automatic,CI,3.0L,6.0
395,Pickup,F-150 2WD FFV,2021,Ford,Ethanol (E85),20.0,24.0,21.0,Automatic,SI,3.3L,6.0
96,Pickup,F-150 2WD FFV,2022,Ford,Ethanol (E85),19.0,24.0,21.0,Automatic,SI,3.3L,6.0
396,Pickup,F-150 2WD FFV,2021,Ford,Ethanol (E85),17.0,24.0,20.0,Automatic,SI,5.0L,8.0
98,Pickup,F-150 2WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),17.0,24.0,20.0,Automatic,SI,5.0L,8.0
97,Pickup,F-150 2WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),17.0,24.0,19.0,Automatic,SI,5.0L,8.0
397,Pickup,F-150 4WD,2021,Ford,Biodiesel (B20),20.0,27.0,23.0,Automatic,CI,3.0L,6.0
399,Pickup,F-150 4WD FFV,2021,Ford,Ethanol (E85),16.0,22.0,19.0,Automatic,SI,5.0L,8.0
398,Pickup,F-150 4WD FFV,2021,Ford,Ethanol (E85),19.0,22.0,20.0,Automatic,SI,3.3L,6.0
99,Pickup,F-150 4WD FFV,2022,Ford,Ethanol (E85),19.0,22.0,20.0,Automatic,SI,3.3L,6.0
101,Pickup,F-150 4WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),16.0,22.0,19.0,Automatic,SI,5.0L,8.0
100,Pickup,F-150 4WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),16.0,22.0,18.0,Automatic,SI,5.0L,8.0
691,Passenger Van/Shuttle Bus,F-550 Bus,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
692,School Bus,F-59 School Bus,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
693,Passenger Van/Shuttle Bus,F-59 Shuttle Bus,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
694,Step Van,F-59 Step Van,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
695,Vocational/Cab Chassis,F-59 Stripped Chassis,2022,Ford,CNG - Compressed Natural Gas|Propane - Bi-fuel|E85/Hybrid Electric|CNG - Bi-fuel|Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
697,Vocational/Cab Chassis,F-59 Stripped Chassis,2022,Ford,Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
696,Vocational/Cab Chassis,F-59 Stripped Chassis,2022,Ford,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
698,Vocational/Cab Chassis,F-650 Box Truck,2022,Ford,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
157,SUV,F-PACE P340 MHEV,2022,Jaguar,Hybrid Electric,20.0,27.0,22.0,Automatic,SI,3.0L,6.0
455,SUV,F-PACE P340 MHEV,2021,Jaguar,Hybrid Electric,20.0,27.0,22.0,Automatic,SI,3.0L,6.0
456,SUV,F-PACE P400 MHEV,2021,Jaguar,Hybrid Electric,20.0,26.0,22.0,Automatic,SI,3.0L,6.0
158,SUV,F-PACE P400 MHEV,2022,Jaguar,Hybrid Electric,19.0,26.0,22.0,Automatic,SI,3.0L,6.0
102,Pickup,F150 Lightning 4WD,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,358 kW electric motors (x2),7.33
103,Pickup,F150 Lightning 4WD Extended Range,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,210 kW electric motors (x2),7.33
104,Pickup,F150 Lightning Platinum 4WD,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,210 kW electric motors (x2),7.33
400,Pickup,F150 Pickup 2WD HEV,2021,Ford,Hybrid Electric,25.0,26.0,25.0,Automatic,SI,3.5L V6,6.0
105,Pickup,F150 Pickup 2WD HEV,2022,Ford,Hybrid Electric,25.0,25.0,25.0,Automatic,SI,3.5L V6,6.0
401,Pickup,F150 Pickup 4WD HEV,2021,Ford,Hybrid Electric,24.0,24.0,24.0,Automatic,SI,3.5L V6,6.0
106,Pickup,F150 Pickup 4WD HEV,2022,Ford,Hybrid Electric,23.0,23.0,23.0,Automatic,SI,3.5L V6,6.0
782,Vocational/Cab Chassis,"FTR, FVR",2022,Isuzu,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
38,Sedan/Wagon,Flying Spur Hybrid,2022,Bentley Motors,Plug-in Hybrid Electric,17.0,22.0,19.0,Automatic,SI,2.9L,6.0
870,Passenger Van/Shuttle Bus,Ford - Odyssey,2022,Turtle Top,Propane|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
871,Passenger Van/Shuttle Bus,Ford - Odyssey XL,2022,Turtle Top,CNG - Compressed Natural Gas|Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
872,Passenger Van/Shuttle Bus,Ford - Terra Transit,2022,Turtle Top,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
874,Passenger Van/Shuttle Bus,Ford - VT3,2022,Turtle Top,Propane|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
873,Passenger Van/Shuttle Bus,Ford - Van Terra,2022,Turtle Top,CNG - Compressed Natural Gas|Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
758,Refuse,"Front Loader: Half/Pack (including Automated), Half/Pack Freedom, Half/Pack Sierra, Half/Pack Low Rider (including Automated)",2022,Heil Environmental,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
810,Refuse,"Front Loaders: Meridian, Atlantic, Contendor - Class 8",2022,McNeilus,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
746,Vocational/Cab Chassis,"G1, G2",2022,Greenkraft,Propane|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
747,Vocational/Cab Chassis,"G3, G4",2022,Greenkraft,Propane|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
231,SUV,GLE 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,20.0,25.0,22.0,Automatic,SI,3.0L,6.0
230,SUV,GLE 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,20.0,26.0,22.0,Automatic,SI,3.0L,6.0
512,SUV,GLE 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,21.0,26.0,23.0,Automatic,SI,3.0L,6.0
232,SUV,GLE 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,16.0,21.0,18.0,Automatic,SI,4.0L,8.0
513,SUV,GLE 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,17.0,22.0,19.0,Automatic,SI,4.0L,8.0
233,SUV,GLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,18.0,24.0,20.0,Automatic,SI,3.0L,6.0
514,SUV,GLS 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,20.0,24.0,21.0,Automatic,SI,3.0L,6.0
234,SUV,GLS 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,16.0,21.0,18.0,Automatic,SI,4.0L,8.0
