,Category,Model,Model Year,Manufacturer,Fuel,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count
515,SUV,GLS 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,16.0,21.0,18.0,Automatic,SI,4.0L,8.0
235,SUV,GLS 600 4MATIC Maybach,2022,Mercedes-Benz,Hybrid Electric,14.0,20.0,17.0,Automatic,SI,4.0L,8.0
516,SUV,GLS 600 4MATIC Maybach,2021,Mercedes-Benz,Hybrid Electric,15.0,19.0,16.0,Automatic,SI,4.0L,8.0
462,Sedan/Wagon,"GS-6 (21"" wheels)",2021,Karma,Plug-in Hybrid Electric,27.0,25.0,26.0,Automatic,SI,1.5L,3.0
159,SUV,Grand Cherokee 4xe,2022,Jeep,Plug-in Hybrid Electric,23.0,24.0,23.0,Automatic,SI,2.0L,4.0
877,Street Sweeper,HSP,2022,TYMCO,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
569,SUV,Highlander Hybrid,2021,Toyota,Hybrid Electric,36.0,35.0,36.0,Automatic,SI,2.5L,4.0
287,SUV,Highlander Hybrid,2022,Toyota,Hybrid Electric,36.0,35.0,36.0,Automatic,SI,2.5L,4.0
288,SUV,Highlander Hybrid AWD,2022,Toyota,Hybrid Electric,35.0,35.0,35.0,Automatic,SI,2.5L,4.0
570,SUV,Highlander Hybrid AWD,2021,Toyota,Hybrid Electric,35.0,35.0,35.0,Automatic,SI,2.5L,4.0
289,SUV,Highlander Hybrid AWD LTD/PLAT,2022,Toyota,Hybrid Electric,35.0,34.0,35.0,Automatic,SI,2.5L,4.0
571,SUV,Highlander Hybrid AWD LTD/PLAT,2021,Toyota,Hybrid Electric,35.0,34.0,35.0,Automatic,SI,2.5L,4.0
457,SUV,I-PACE EV400,2021,Jaguar,Electric,18.0,23.33,20.0,Automatic,e-motor,unknown,7.33
583,SUV,ID.4 1st,2021,Volkswagen,Electric,18.0,23.33,20.0,Automatic,e-motor,150 kW electric motor,7.33
304,SUV,ID.4 AWD Pro,2022,Volkswagen,Electric,18.67,23.33,20.33,Automatic,e-motor,80 and 150 kW electric motors,7.33
584,SUV,ID.4 AWD Pro,2021,Volkswagen,Electric,18.0,23.33,20.0,Automatic,e-motor,80 and 150 kW electric motors,7.33
305,SUV,ID.4 AWD Pro S,2022,Volkswagen,Electric,18.67,23.33,20.33,Automatic,e-motor,80 and 150 kW electric motors,7.33
306,SUV,ID.4 Pro,2022,Volkswagen,Electric,18.67,23.33,20.33,Automatic,e-motor,150 kW electric motor,7.33
585,SUV,ID.4 Pro,2021,Volkswagen,Electric,18.0,23.33,20.0,Automatic,e-motor,150 kW electric motor,7.33
307,SUV,ID.4 Pro S,2022,Volkswagen,Electric,18.67,23.33,20.33,Automatic,e-motor,150 kW electric motor,7.33
586,SUV,ID.4 Pro S,2021,Volkswagen,Electric,18.0,23.33,20.0,Automatic,e-motor,150 kW electric motor,7.33
587,SUV,ID.4 Pro S AWD ,2021,Volkswagen,Electric,18.0,23.33,20.0,Automatic,e-motor,80 and 150 kW electric motors,7.33
439,Sedan/Wagon,Insight,2021,Honda,Hybrid Electric,55.0,49.0,52.0,Automatic,SI,1.5L,4.0
135,Sedan/Wagon,Insight,2022,Honda,Hybrid Electric,55.0,49.0,52.0,Automatic,SI,1.5L,4.0
440,Sedan/Wagon,Insight Touring,2021,Honda,Hybrid Electric,51.0,45.0,48.0,Automatic,SI,1.5L,4.0
136,Sedan/Wagon,Insight Touring,2022,Honda,Hybrid Electric,51.0,45.0,48.0,Automatic,SI,1.5L,4.0
443,Sedan/Wagon,Ioniq,2021,Hyundai,Hybrid Electric,54.0,56.0,55.0,Automatic,SI,1.6L,4.0
139,Sedan/Wagon,Ioniq,2022,Hyundai,Hybrid Electric,54.0,57.0,55.0,Automatic,SI,1.6L,4.0
140,SUV,Ioniq 5 AWD (Long Range),2022,Hyundai,Electric,18.67,23.33,20.33,Automatic,e-motor,74 kW and 165 kW electric motors,7.33
141,SUV,Ioniq 5 RWD,2022,Hyundai,Electric,18.67,23.33,20.33,Automatic,e-motor,125 kW electric motor,7.33
142,SUV,Ioniq 5 RWD (Long Range),2022,Hyundai,Electric,18.67,23.33,20.33,Automatic,e-motor,168 kW electric motor,7.33
444,Sedan/Wagon,Ioniq Blue,2021,Hyundai,Hybrid Electric,59.0,60.0,59.0,Automatic,SI,1.6L,4.0
143,Sedan/Wagon,Ioniq Blue,2022,Hyundai,Hybrid Electric,58.0,60.0,59.0,Automatic,SI,1.6L,4.0
445,Sedan/Wagon,Ioniq Electric,2021,Hyundai,Electric,18.0,23.33,20.0,Automatic,e-motor,100 kW electric motor,7.33
446,Sedan/Wagon,Ioniq Plug-in Hybrid,2021,Hyundai,Plug-in Hybrid Electric,52.0,51.0,52.0,Automatic,SI,1.6L,4.0
144,Sedan/Wagon,Ioniq Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,52.0,51.0,52.0,Automatic,SI,1.6L,4.0
809,Transit Bus,J4500e CHARGE - Class 8,2022,MCI,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
632,Transit Bus,K11M (60'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
461,Sedan/Wagon,K27,2021,Kandi,Electric,18.0,23.33,20.0,Automatic,e-motor,20 kW electric motor,7.33
785,Vocational/Cab Chassis,K270/K370,2022,Kenworth,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
633,Transit Bus,K7M (30'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
634,Transit Bus,K7M ER (30'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
635,Transit Bus,K8M (35'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
636,Transit Bus,K9M (40'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
637,Transit Bus,K9MD (40'),2022,BYD,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
447,SUV,Kona Electric,2021,Hyundai,Electric,18.0,23.33,20.0,Automatic,e-motor,150 kW electric motor,7.33
145,SUV,Kona Electric,2022,Hyundai,Electric,18.67,23.33,20.33,Automatic,e-motor,150 kW electric motor,7.33
761,Vocational/Cab Chassis,L6 Conventional,2022,Hino,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
762,Vocational/Cab Chassis,L7 Conventional,2022,Hino,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
192,Sedan/Wagon,LC 500h,2022,Lexus,Hybrid Electric,26.0,34.0,29.0,Automatic,SI,3.5L,6.0
482,Sedan/Wagon,LC 500h,2021,Lexus,Hybrid Electric,26.0,34.0,29.0,Automatic,SI,3.5L,6.0
604,Vocational/Cab Chassis,LET2,2022,Battle Motors,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
605,Vocational/Cab Chassis,LET2,2022,Battle Motors,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
606,Vocational/Cab Chassis,LET2 Crew Cab,2022,Battle Motors,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
829,Transit Bus,LFS Artic HEV - Class 8,2022,Nova Bus,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
830,Transit Bus,LFS CNG - Class 8,2022,Nova Bus,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
833,Transit Bus,LFS HEV - Class 8,2022,Nova Bus,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
831,Transit Bus,LFSe,2022,Nova Bus,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
832,Transit Bus,LFSe+,2022,Nova Bus,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
791,Vocational/Cab Chassis,LION6,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
792,Vocational/Cab Chassis,LION8 - Class 8,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
793,Refuse,LION8 Refuse ASL and REL - Class 8,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
794,Tractor,LION8T - Class 8,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
795,School Bus,LIONA,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
796,School Bus,LIONC,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
797,School Bus,LIOND,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
798,Passenger Van/Shuttle Bus,LIONM,2022,Lion Electric,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
607,Vocational/Cab Chassis,LNT,2022,Battle Motors,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
608,Vocational/Cab Chassis,LNT,2022,Battle Motors,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
801,Refuse,LR,2022,Mack,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
800,Refuse,LR,2022,Mack,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
483,Sedan/Wagon,LS 500h,2021,Lexus,Hybrid Electric,25.0,33.0,28.0,Automatic,SI,3.5L,6.0
193,Sedan/Wagon,LS 500h AWD,2022,Lexus,Hybrid Electric,22.0,29.0,25.0,Automatic,SI,3.5L,6.0
484,Sedan/Wagon,LS 500h AWD,2021,Lexus,Hybrid Electric,23.0,29.0,26.0,Automatic,SI,3.5L,6.0
242,Sedan/Wagon,Leaf (40 kWh battery pack),2022,Nissan,Electric,18.67,23.33,20.33,Automatic,e-motor,110 kW electric motor,7.33
523,Sedan/Wagon,Leaf (40 kWh battery pack),2021,Nissan,Electric,18.0,23.33,20.0,Automatic,e-motor,110 kW electric motor,7.33
243,Sedan/Wagon,Leaf (62 kWh battery pack),2022,Nissan,Electric,18.67,23.33,20.33,Automatic,e-motor,160 kW electric motor,7.33
524,Sedan/Wagon,Leaf (62 kWh battery pack),2021,Nissan,Electric,18.0,23.33,20.0,Automatic,e-motor,160 kW electric motor,7.33
244,Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2022,Nissan,Electric,18.67,23.33,20.33,Automatic,e-motor,160 kW electric motor,7.33
525,Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2021,Nissan,Electric,18.0,23.33,20.0,Automatic,e-motor,160 kW electric motor,7.33
730,Transit Bus,Low Floor Plus,2022,Gillig,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
729,Transit Bus,"Low Floor, Low Floor Plus",2022,Gillig,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
728,Transit Bus,"Low Floor, Low Floor Plus",2022,Gillig,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
720,TractorVocational/Cab Chassis,M2 112 NG,2022,Freightliner,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
361,SUV,M340i,2021,BMW,Hybrid Electric,23.0,32.0,26.0,Automatic,SI,3.0L,6.0
53,Sedan/Wagon,M340i Sedan,2022,BMW,Hybrid Electric,23.0,32.0,26.0,Automatic,SI,3.0L,6.0
362,SUV,M340i xDrive,2021,BMW,Hybrid Electric,22.0,31.0,25.0,Automatic,SI,3.0L,6.0
54,Sedan/Wagon,M340i xDrive Sedan,2022,BMW,Hybrid Electric,23.0,32.0,26.0,Automatic,SI,3.0L,6.0
733,Street Sweeper,M3EV - Class 7,2022,Global,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
735,Street Sweeper,M4 Hybrid,2022,Global,Diesel/Hybrid Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
736,Street Sweeper,M4/M4HSD CNG,2022,Global,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
55,Sedan/Wagon,M440i Convertible,2022,BMW,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,3.0L,6.0
363,Sedan/Wagon,M440i Convertible,2021,BMW,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,3.0L,6.0
56,Sedan/Wagon,M440i Coupe,2022,BMW,Hybrid Electric,25.0,34.0,28.0,Automatic,SI,3.0L,6.0
57,Sedan/Wagon,M440i xDrive Convertible,2022,BMW,Hybrid Electric,23.0,31.0,26.0,Automatic,SI,3.0L,6.0
364,Sedan/Wagon,M440i xDrive Coupe,2021,BMW,Hybrid Electric,22.0,31.0,25.0,Automatic,SI,3.0L,6.0
58,Sedan/Wagon,M440i xDrive Coupe,2022,BMW,Hybrid Electric,23.0,32.0,26.0,Automatic,SI,3.0L,6.0
59,Sedan/Wagon,M440i xDrive Gran Coupe,2022,BMW,Hybrid Electric,22.0,29.0,25.0,Automatic,SI,3.0L,6.0
734,Street Sweeper,M4EV - Class 7,2022,Global,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
737,Street Sweeper,M4ZE/M4HSDZE - Class 7,2022,Global,Hydrogen Fuel Cell,25.9,30.09,27.26,unknown,unknown,unknown,5.45
857,Street Sweeper,M6 Avalanche,2022,Schwarze Industries,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
721,Vocational/Cab Chassis,MT-45 G Chassis - Class 4,2022,Freightliner Custom Chassis,Propane|CNG - Compressed Natural Gas,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
722,Vocational/Cab Chassis,MT-50e,2022,Freightliner Custom Chassis,Electric,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
723,Vocational/Cab Chassis,MT-55 G Chassis,2022,Freightliner Custom Chassis,Propane|CNG - Compressed Natural Gas,25.9,30.09,27.26,Automatic,unknown,unknown,5.45
208,Sedan/Wagon,MX-30,2022,Mazda,Electric,18.67,23.33,20.33,unknown,e-motor,81 kW electric motor,7.33
769,Transit Bus,Mainstreet,2022,Hometown Manufacturing,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
768,Transit Bus,Mainstreet,2022,Hometown Manufacturing,CNG - Compressed Natural Gas,25.9,30.09,27.26,unknown,unknown,unknown,5.45
107,Pickup,Maverick Pickup HEV,2022,Ford,Hybrid Electric,42.0,33.0,37.0,Automatic,SI,2.5L V6,4.0
699,Vocational/Cab Chassis,"Medium Duty Chassis Cab F650, F750",2022,Ford,CNG - Bi-fuel|Ethanol (E85)|CNG - Compressed Natural Gas|Propane|Propane - Bi-fuel,25.9,30.09,27.26,unknown,unknown,unknown,5.45
700,Vocational/Cab Chassis,"Medium Duty Chassis Cab F650, F750",2022,Ford,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
613,Passenger Van/Shuttle Bus,Micro Bird Activity G5 Electric,2022,Blue Bird,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
614,School Bus,Micro Bird G5 - Class 3,2022,Blue Bird,Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
615,Passenger Van/Shuttle Bus,Micro Bird G5 Activity,2022,Blue Bird,Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
616,School Bus,Micro Bird G5 Electric,2022,Blue Bird,Electric,25.9,30.09,27.26,unknown,unknown,unknown,5.45
861,School Bus,Minotour - Class 4,2022,Thomas Built,CNG - Compressed Natural Gas|Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
862,Passenger Van/Shuttle Bus,Minotour Activity - Class 4,2022,Thomas Built,CNG - Compressed Natural Gas|Propane,25.9,30.09,27.26,unknown,unknown,unknown,5.45
290,Sedan/Wagon,Mirai LE,2022,Toyota,Hydrogen Fuel Cell,18.67,23.33,20.33,Automatic,FC,134 kW electric motor,7.33
291,Sedan/Wagon,Mirai Limited,2022,Toyota,Hydrogen Fuel Cell,18.67,23.33,20.33,Automatic,FC,134 kW electric motor,7.33
572,Sedan/Wagon,Mirai Limited,2021,Toyota,Hydrogen Fuel Cell,18.0,23.33,20.0,Automatic,FC,134 kW electric motor,7.33
292,Sedan/Wagon,Mirai XLE,2022,Toyota,Hydrogen Fuel Cell,18.67,23.33,20.33,Automatic,FC,134 kW electric motor,7.33
573,Sedan/Wagon,Mirai XLE,2021,Toyota,Hydrogen Fuel Cell,18.0,23.33,20.0,Automatic,FC,134 kW electric motor,7.33
269,Sedan/Wagon,Model 3 (Long Range) AWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,98 kW and 195 kW electric motors,7.33
553,Sedan/Wagon,Model 3 Long Range AWD,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,131 and 190 kW electric motors,7.33
270,Sedan/Wagon,Model 3 Performance AWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,131kW and 190 kW electric motors,7.33
554,Sedan/Wagon,Model 3 Performance AWD,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,131 and 190 kW electric motors,7.33
271,Sedan/Wagon,Model 3 RWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,192 kW electric motor,7.33
555,Sedan/Wagon,Model 3 Standard Range Plus RWD,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,198 kW electric motor,7.33
272,Sedan/Wagon,Model S ,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,247 kW dual electric motors,7.33
556,Sedan/Wagon,Model S Long Range,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,179 kW and 186 kW electric motor,7.33
557,Sedan/Wagon,"Model S Performance (19"" Wheels)",2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,149 kW and 276 kW electric motor,7.33
273,Sedan/Wagon,"Model S Plaid (19"" Wheels)",2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,250 kW electric motors (X3),7.33
274,Sedan/Wagon,"Model S Plaid (21"" Wheels)",2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,250 kW electric motors (X3),7.33
558,Sedan/Wagon,"Model S Plaid (21"" Wheels)",2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,250 kW electric motors (X3),7.33
275,SUV,Model X AWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,243 and 248 kW electric motors,7.33
559,SUV,Model X Long Range Plus,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,180 and 189 kW electric motor,7.33
560,SUV,"Model X Performance (20"" Wheels)",2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,151 and 273 kW electric motors,7.33
276,SUV,"Model X Plaid (20"" Wheels)",2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,230kW electric motors (X3),7.33
277,SUV,"Model X Plaid (22"" Wheels)",2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,230kW electric motors (X3),7.33
279,SUV,Model Y (Long Range) AWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,91 and 200 kW electric motors,7.33
278,SUV,Model Y AWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,91 and 200 kW electric motors,7.33
561,SUV,Model Y Long Range AWD,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,69 and 201 kW electric motors,7.33
562,SUV,Model Y Performance AWD,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,133 and 179 kW electric motors,7.33
280,SUV,Model Y Performance AWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,133 and 179 kW electric motors,7.33
281,SUV,Model Y RWD,2022,Tesla,Electric,18.67,23.33,20.33,Automatic,e-motor,209 kW electric motor,7.33
563,SUV,Model Y Standard Range RWD,2021,Tesla,Electric,18.0,23.33,20.0,Automatic,e-motor,209 kW electric motor,7.33
402,Sedan/Wagon,Mustang Mach-E AWD,2021,Ford,Electric,18.0,23.33,20.0,Automatic,e-motor,198 kW electric motor,7.33
108,SUV,Mustang Mach-E AWD,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,198 kW electric motors (x2),7.33
109,SUV,Mustang Mach-E AWD California Route 1,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,258 kW electric motors (x2),7.33
110,SUV,Mustang Mach-E AWD Extended,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,258 kW electric motors (x2),7.33
403,Sedan/Wagon,Mustang Mach-E AWD Extended,2021,Ford,Electric,18.0,23.33,20.0,Automatic,e-motor,209 kW electric motor,7.33
111,SUV,Mustang Mach-E GT AWD,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,179  kW electric motors (X2),7.33
405,Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,Electric,18.0,23.33,20.0,Automatic,e-motor,179  kW electric motors (X2),7.33
404,Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,Electric,18.0,23.33,20.0,Automatic,e-motor,179  kW electric motors (X2),7.33
112,SUV,Mustang Mach-E GT Performance,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,179  kW electric motor,7.33
406,Sedan/Wagon,Mustang Mach-E RWD,2021,Ford,Electric,18.0,23.33,20.0,Automatic,e-motor,198 kW electric motor,7.33
113,SUV,Mustang Mach-E RWD,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,198 kW electric motor,7.33
407,Sedan/Wagon,Mustang Mach-E RWD California Route 1,2021,Ford,Electric,18.0,23.33,20.0,Automatic,e-motor,216 kW electric motor,7.33
114,SUV,Mustang Mach-E RWD California Route 1,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,216 kW electric motor,7.33
115,SUV,Mustang Mach-E RWD Extended,2022,Ford,Electric,18.67,23.33,20.33,Automatic,e-motor,216 kW electric motor,7.33
408,Sedan/Wagon,Mustang Mach-E RWD Extended,2021,Ford,Electric,18.0,23.33,20.0,Automatic,e-motor,216 kW electric motor,7.33
783,Vocational/Cab Chassis,"NPR-HD, NPR-XD, NQR, NRR",2022,Isuzu,Biodiesel (B20),25.9,30.09,27.26,unknown,unknown,unknown,5.45
0,Sedan/Wagon,NSX,2022,Acura,Hybrid Electric,21.0,22.0,21.0,Automatic,SI,3.5L,6.0
320,Sedan/Wagon,NSX,2021,Acura,Hybrid Electric,21.0,22.0,21.0,Automatic,SI,3.5L,6.0
485,SUV,NX 300h AWD,2021,Lexus,Hybrid Electric,33.0,30.0,31.0,Automatic,SI,2.5L,4.0
194,SUV,NX 350h AWD,2022,Lexus,Hybrid Electric,41.0,37.0,39.0,Automatic,SI,2.5L,4.0
195,SUV,NX 450+ AWD,2022,Lexus,Plug-in Hybrid Electric,38.0,33.0,36.0,Automatic,SI,2.5L,4.0
179,SUV,New Range Rover P360 LWB MHEV,2022,Land Rover,Hybrid Electric,18.0,26.0,21.0,Automatic,SI,3.0L,6.0
180,SUV,New Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric,18.0,26.0,21.0,Automatic,SI,3.0L,6.0
181,SUV,New Range Rover P400 LWB MHEV,2022,Land Rover,Hybrid Electric,18.0,26.0,21.0,Automatic,SI,3.0L,6.0
182,SUV,New Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric,18.0,26.0,21.0,Automatic,SI,3.0L,6.0
448,SUV,Nexo,2021,Hyundai,Hydrogen Fuel Cell,18.0,23.33,20.0,Automatic,FC,120 kW electric motor,7.33
146,SUV,Nexo,2022,Hyundai,Hydrogen Fuel Cell,18.67,23.33,20.33,Automatic,FC,120 kW electric motor,7.33
